ISO3_Code,Country_Name,M49_Code,Tax_Revenue_2016,Tax_Revenue_2017,Tax_Revenue_2018,Tax_Revenue_2019,Tax_Revenue_2020,Tax_Revenue_Avg
BLZ,Belize,84.0,25.7292503403163,26.2193268503058,,,,25.97428859531105
BEN,Benin,204.0,,,,,,
BMU,Bermuda,60.0,,,,,,
BTN,Bhutan,64.0,12.9794732034214,12.5415621434496,16.6854549283115,15.6412080939078,13.0389085289592,14.177321379609902
BOL,Bolivia (Plurinational State of),68.0,,,,,,
BIH,Bosnia and Herzegovina,70.0,19.9514911959954,20.2593373199104,20.4407478382483,20.1013532912903,19.0093054070507,19.95244701049902
BWA,Botswana,72.0,21.630056769871,23.9584059925454,21.8917225473597,21.1363756593869,22.319811695263,22.187274532885198
VGB,British Virgin Islands,92.0,,,,,,
BRN,Brunei Darussalam,96.0,,,,,,
BGR,Bulgaria,100.0,20.3242794923867,20.5117038349021,19.9038858022427,20.4737609542544,20.3693585536244,20.31659772748206
BFA,Burkina Faso,854.0,14.1391533049498,15.2607212259008,15.2924120845571,15.5000891974549,13.2753560785655,14.693546378285621
BDI,Burundi,108.0,,,,,,
CPV,Cabo Verde,132.0,18.6038176606685,20.0867526837254,,,,19.345285172196952
KHM,Cambodia,116.0,14.8258905524274,15.7887189326961,17.0520845477052,19.7320552255634,17.8851133671755,17.05677252511352
CMR,Cameroon,120.0,11.6520313878748,11.8759411884958,12.3469457091006,,,11.958306095157068
CAN,Canada,124.0,12.496562633144,12.6120166809848,13.0576846693075,12.7658792001364,13.295032907914,12.845435218297343
CYM,Cayman Islands,136.0,,,,,,
CAF,Central African Republic,140.0,6.80758893701064,7.08124424919758,8.63983071970915,8.31845804475991,8.70964482691346,7.9113533555181474
TCD,Chad,148.0,,,,,,
CHL,Chile,152.0,17.4689644143458,17.5057946834574,18.3955244984208,17.8536189853873,16.2449324644776,17.49376700921778
COL,Colombia,170.0,14.3852129298513,14.8508184081791,14.6743295095342,15.0849896448186,14.2276854392606,14.644607186328761
COM,Comoros,174.0,,,,,,
COD,Democratic Republic of the Congo,180.0,,,,,,
COG,Congo,178.0,13.8127993907365,11.3692832278677,7.7502405556671,7.78456050520683,8.94572883998308,9.93252250389224
CRI,Costa Rica,188.0,13.5108543354557,13.244102554611,13.1821486851432,13.3742076106881,12.3236447240913,13.12699158199786
CIV,Côte d'Ivoire,384.0,11.5663455369133,11.9669833257913,11.7687552395283,12.0328548304303,,11.833734733165798
HRV,Croatia,191.0,21.064041852235,21.219437152137,21.5284420899666,21.7013812953985,20.6997612359575,21.24261272513892
CUB,Cuba,192.0,,,,,,
CUW,Curaçao,531.0,,,,,,
CYP,Cyprus,196.0,23.6210031622867,23.9295495410235,24.1393885177525,23.471594299177,22.7760012175079,23.58750734754952
CZE,Czechia,203.0,14.9127775532102,15.0055285503497,14.8364085391609,14.7717028406583,14.3760338031117,14.78049025729816
DNK,Denmark,208.0,33.2950594843919,33.3998795843063,32.2352444013286,34.5837584924653,33.9850239328442,33.49979317906726
DJI,Djibouti,262.0,,,,,,
DMA,Dominica,212.0,,,,,,
DOM,Dominican Republic,214.0,12.9108685475088,13.030751059434,13.0249349887579,13.3027785951135,12.3898799024195,12.93184261864674
ECU,Ecuador,218.0,,,,13.3992280962085,12.5355339786329,12.9673810374207
EGY,Egypt,818.0,,,,,,
SLV,El Salvador,222.0,17.3547756189279,17.7537510645061,18.128923536318,18.0710169961623,18.6016156683464,17.98201657685214
GNQ,Equatorial Guinea,226.0,6.38440698934831,5.9818468716613,6.16890887868684,9.30194336304014,7.84840052946937,7.137101326441193
ERI,Eritrea,232.0,,,,,,
EST,Estonia,233.0,21.7746900736669,20.941809328623,21.0521659656741,21.3177851522539,21.1769384666863,21.252677797380837
SWZ,Eswatini,748.0,,,,,,
ETH,Ethiopia,231.0,8.08706553329928,7.6039292287321,7.519920423209,6.66174132174475,6.19629946992619,7.213791195382264
FRO,Faroe Islands,234.0,,,,,,
FJI,Fiji,242.0,23.5346235421212,24.669942067799,23.9933534165529,22.6767801333056,18.8486607481974,22.74467198159522
FIN,Finland,246.0,20.8134499213858,20.7338898193115,20.8238388130279,20.6689958807932,19.8495766717788,20.577950221259442
PYF,French Polynesia,258.0,,,,,,
GAB,Gabon,266.0,11.4680637070479,11.0849703006568,10.2153363843183,11.4795282431197,,11.061974658785676
GMB,Gambia,270.0,,,,,,
GEO,Georgia,268.0,23.5034602076125,23.3401044119956,22.430795033117,23.1173329727924,21.4053148501443,22.759401495132362
GHA,Ghana,288.0,11.058329312953,11.5770311564905,12.2442416661964,11.9969957643922,11.3404319629997,11.64340597260636
GIB,Gibraltar,292.0,,,,,,
GRC,Greece,300.0,26.669658017698,26.4585125001209,26.9451025864247,26.1942128028413,24.7558728163889,26.204671744694757
GRL,Greenland,304.0,,,,,,
GRD,Grenada,308.0,,,,,,
GUM,Guam,316.0,,,,,,
GTM,Guatemala,320.0,10.4215148794664,9.15694761418877,10.5781802592295,10.456023917976,9.96975619566429,10.11648457330499
GIN,Guinea,324.0,,,,,,
GNB,Guinea-Bissau,624.0,,10.3228332008281,,9.46207435827386,,9.89245377955098
GUY,Guyana,328.0,,,,,,
HTI,Haiti,332.0,,,,,,
HND,Honduras,340.0,,,,,14.7653972304235,14.7653972304235
HKG,"China, Hong Kong SAR",344.0,,,,,,
HUN,Hungary,348.0,23.0627430788909,22.877453037073,22.5315651787791,22.4316119654261,22.9356776524362,22.76781018252106
ISL,Iceland,352.0,37.612849787134,23.9232132016805,22.9729257984968,21.7763783168196,22.3107177192365,25.719216964673485
IRN,Iran (Islamic Republic of),364.0,,,,,,
IRQ,Iraq,368.0,2.07780523585979,2.68703020692064,1.98400716286706,1.34459361810327,,2.02335905593769
IRL,Ireland,372.0,19.0549825424419,18.2991701971235,18.130297170773,17.7317453328817,16.50888955085,17.94501695881402
IMN,Isle of Man,833.0,,,,,,
ISR,Israel,376.0,23.2793454776708,24.443499369942,22.8793589911165,22.3613927585863,22.2339013412209,23.039499587707304
JAM,Jamaica,388.0,26.0266694669571,26.2210037607905,26.7810665699502,27.4539417450804,25.7094656957291,26.43842944770146
JOR,Jordan,400.0,15.0206304355319,14.7729472530104,14.8793706408414,14.8140383242855,15.9820981934763,15.0938169694291
KAZ,Kazakhstan,398.0,9.92425019653,10.3030113756124,11.7177995865876,11.78694274063,8.3188093138288,10.41016264263776
KEN,Kenya,404.0,14.9664727307544,15.0524641340645,14.3612789172776,15.1001093470909,14.2985362392681,14.755772273691099
KIR,Kiribati,296.0,24.8957894943223,21.8608282977606,21.3170252213148,27.1928968041882,26.2829839548392,24.30990475448502
PRK,Democratic People's Republic of Korea,408.0,,,,,,
KWT,Kuwait,414.0,,,,,,
KGZ,Kyrgyzstan,417.0,16.9491731803417,17.0462850607483,17.998857013595,16.8640679486618,,17.214595800836697
LAO,Lao People's Democratic Republic,418.0,,,,,,
LVA,Latvia,428.0,23.5038978134329,23.4795127950225,22.8267371817463,21.2874557033197,22.3872407973424,22.69696885817276
LBN,Lebanon,422.0,13.5253568934481,15.359881763724,15.3254054569127,15.4053905267419,10.8787878397453,14.0989644961144
LSO,Lesotho,426.0,29.291896125113,33.0152710236718,32.3479908618271,31.7383162359618,18.3132914676148,28.9413531428377
LBR,Liberia,430.0,,,,,,
LBY,Libya,434.0,,,,,,
LIE,Liechtenstein,438.0,,,,,,
LTU,Lithuania,440.0,16.9315977516197,16.6506470517037,16.7840625389502,20.0065002219613,19.9898689530617,18.072535303459322
LUX,Luxembourg,442.0,23.7675096749456,24.5181470528935,26.5276554007983,26.3871016161829,25.2409031624588,25.288263381455817
MAC,"China, Macao SAR",446.0,27.7752858871884,29.0042073133468,29.3866491174882,29.7120968461877,21.620330754376,27.49971398371742
MDG,Madagascar,450.0,9.24485187359524,10.0275447299671,10.3931176196193,10.4671183350686,9.39536253989541,9.90559901962913
MWI,Malawi,454.0,15.4890813193579,12.184301943268,12.1738782494507,12.0039896109349,11.7192837869008,12.714106981982459
MYS,Malaysia,458.0,13.5507251724192,12.9459662411797,12.0226658594691,11.9330384903051,10.8991632283073,12.270311798336081
MDV,Maldives,462.0,,,,,,
MLI,Mali,466.0,15.3959707239547,15.8828451038729,11.6697373131735,14.5011383710015,14.164539862528,14.322846274906121
MLT,Malta,470.0,25.2291635404822,25.0156675889645,25.0323153088398,24.6831874813841,23.8093921621168,24.753945216357483
MHL,Marshall Islands,584.0,17.383247258585,17.6628221502307,17.7896997548162,18.0911595298871,16.968662665506,17.579118271804997
MRT,Mauritania,478.0,,,,,,
MUS,Mauritius,480.0,18.1284135107472,18.546871105925,19.1247260086108,19.9470637466031,21.6182842338769,19.4730717211526
FSM,Micronesia (Federated States of),583.0,6.00349148812455,10.4078806698616,25.1962738500986,19.0215708853129,6.43394851578401,13.412633081836333
MDA,Republic of Moldova,498.0,16.2457923041723,17.4426122439336,17.6916295244774,17.3103603225812,17.4130846661826,17.22069581226942
MCO,Monaco,492.0,,,,,,
MNG,Mongolia,496.0,11.3509934513522,13.5469084470374,16.6885283140447,16.8505209165632,14.1457872327323,14.51654767234596
MNE,Montenegro,499.0,,,,,,
MAR,Morocco,504.0,21.4558870095265,21.755347231022,21.8741833125173,21.4178488698103,21.1790535694679,21.536463998468797
MOZ,Mozambique,508.0,20.2988701657895,22.1882969379744,21.438117115238,26.8956427376314,21.843737127879,22.532932816902456
MMR,Myanmar,104.0,7.70519610658228,6.58100940372646,2.97848674879625,6.4392728287842,,5.925991271972298
NAM,Namibia,516.0,30.0963059722433,31.6946329262149,29.1800882337375,30.3509104268482,31.2247097527819,30.509329462365162
NRU,Nauru,520.0,24.6909358905109,22.550184862069,30.4662678875,36.0001730481928,48.2369051461988,32.3888933668943
NPL,Nepal,524.0,16.1437497567593,17.9993621205329,19.0828260582089,19.8090602392694,15.7736497317263,17.761729581299356
NCL,New Caledonia,540.0,,,,,,
NZL,New Zealand,554.0,27.2858138171791,27.3235237479539,27.4683459179243,28.0922130957783,27.5013675051377,27.534252816794655
NIC,Nicaragua,558.0,16.1664462040546,16.5737916199832,15.6994164536848,17.5634074904967,17.199429975339,16.640498348711663
NER,Niger,562.0,,,,,,
NGA,Nigeria,566.0,,,,,,
MKD,North Macedonia,807.0,16.9511578216024,17.1611135905492,17.5749363175957,17.0832810795126,16.4552395905972,17.04514567997142
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,22.0871630406294,22.4775458505266,23.4623934269394,23.5015787919912,21.0850401961765,22.52274426125262
OMN,Oman,512.0,,,,,,
PAK,Pakistan,586.0,,,,,,
PLW,Palau,585.0,19.8169426937325,19.9500651945321,21.2373126210899,18.8853067104303,18.1715172681412,19.6122288975852
PAN,Panama,591.0,10.3775424740353,9.99594494922547,9.94356974028958,,,10.10568572118345
PNG,Papua New Guinea,598.0,12.9486285832779,12.6050017623511,13.1930287477157,13.0217239124958,11.4848845905786,12.650653519283821
PRY,Paraguay,600.0,9.55906333660439,9.95647441372393,10.0750585766838,9.99575607478918,9.51499928580985,9.82027033752223
PER,Peru,604.0,13.7875476429229,13.1743416510927,14.2863700354499,14.5254040570996,13.2018858999617,13.79510985730536
PHL,Philippines,608.0,13.0871006913218,13.5937937490496,14.0475332790366,14.4884730214742,13.9509857073673,13.8335772896499
POL,Poland,616.0,16.2305398427786,16.7944578319308,17.3956838262501,17.3008971310383,17.5605676129174,17.05642924898304
PRT,Portugal,620.0,22.3319932476097,22.3705879762207,22.6533467082473,22.2011920067777,22.0888302952111,22.329190046813302
PRI,Puerto Rico,630.0,,,,,,
QAT,Qatar,634.0,,,,,,
ROU,Romania,642.0,16.8520236625952,15.4729764935295,14.4941335685545,14.6022675550241,14.2803449645825,15.14034924885716
RWA,Rwanda,646.0,14.4234380857503,13.4513717050534,14.2430075727189,14.5954475699839,15.0597292540353,14.354598837508362
WSM,Samoa,882.0,24.247498586836,24.973114168757,25.4355364946368,26.174477677435,26.284607920028,25.423046969538557
SMR,San Marino,674.0,16.6895197107948,16.4688470309773,17.9568164942676,16.912733956372,16.1362612196271,16.83283568240776
STP,Sao Tome and Principe,678.0,,,,,,
SEN,Senegal,686.0,16.3711764463022,15.9064516552729,16.3781121567836,,,16.21858008611957
SRB,Serbia,688.0,23.2899150584378,24.068038298589,23.5981870443934,24.0497349284773,23.498018847837,23.7007788355469
SYC,Seychelles,690.0,30.341936558682,31.0696242292737,31.5175258864205,,,30.97636222479207
SLE,Sierra Leone,694.0,,,,,,
SGP,Singapore,702.0,13.3183581436362,13.992939377193,13.0099135410764,13.2011448425842,12.8865184095362,13.281774862805198
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,18.1478130539303,18.6157823991405,18.6126670700062,18.7031960572743,18.7711698747165,18.570125691013562
SVN,Slovenia,705.0,18.6066578234862,18.3381224192997,18.5256734499239,18.2234059116215,16.9527051488888,18.129312950644017
SLB,Solomon Islands,90.0,23.8593203071145,24.531298904462,26.1899822434295,22.9268464129198,20.918893453808,23.68526826434676
SOM,Somalia,706.0,,0.000110002195891172,0.00012794313694577,0.000106728147770465,7.7785176523098e-05,0.00010561466428262627
ZAF,South Africa,710.0,24.8283559884696,24.76928728931,24.9206843785242,24.9568434886714,23.4537920449402,24.58579263798308
SSD,South Sudan,728.0,,,,,,
LKA,Sri Lanka,144.0,12.201389606995,12.5312519753631,11.9818702025727,11.5683593020374,8.09550619292258,11.275675455978156
KNA,Saint Kitts and Nevis,659.0,18.3154768385609,17.3525830967969,,,13.5551192493681,16.407726394908636
LCA,Saint Lucia,662.0,19.175934300331,18.2409274390719,,,,18.708430869701452
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,24.3521365490854,23.6990310377522,,,,24.0255837934188
SDN,Sudan,729.0,7.39027026174951,,,,,7.39027026174951
SUR,Suriname,740.0,,,,,,
SWE,Sweden,752.0,28.120504703138,28.1273850866599,27.9091466033843,27.4127018295836,26.8500123514616,27.68395011484548
SYR,Syrian Arab Republic,760.0,,,,,,
TJK,Tajikistan,762.0,,,,,,
TZA,United Republic of Tanzania,834.0,11.3903399368077,11.8265649712045,11.6950830864916,,,11.637329331501268
THA,Thailand,764.0,15.3620878369337,14.7796769747412,14.914909411556,14.6525754521795,14.4802979601735,14.837909527116778
TLS,Timor-Leste,626.0,14.9951350830007,19.8437459932309,24.805634190349,22.6420473553879,,20.571640655492125
TGO,Togo,768.0,13.958278714904,13.0422275318246,12.7095433349677,13.1551874737248,,13.216309263855276
TON,Tonga,776.0,,,,,,
TTO,Trinidad and Tobago,780.0,22.5930720421054,18.919934645106,19.9298361076822,,,20.480947598297867
TUN,Tunisia,788.0,,,,,,
TKM,Turkmenistan,795.0,,,,,,
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,,,,,,
UGA,Uganda,800.0,11.1195629663956,11.604723672174,11.6828686480191,12.2363794693778,11.3911633065296,11.606939612499222
UKR,Ukraine,804.0,19.6301198096561,20.0523676996082,20.1425525138036,19.1961400966208,19.1514002992876,19.634516083795262
ARE,United Arab Emirates,784.0,0.0434946893962711,0.0664571906833831,0.0593102813299132,0.974042421526661,0.664230128490981,0.36150694228544183
URY,Uruguay,858.0,21.8249441022183,18.2947500677407,18.5602992152633,18.154268227323,18.5521606847851,19.077284459466078
UZB,Uzbekistan,860.0,13.4329630615828,11.6417474022732,14.1576469701894,12.6953747017566,14.8674314897313,13.359032725106658
VUT,Vanuatu,548.0,16.8001853447767,17.1291719798923,17.8372704957726,17.5946605537459,14.2374077080676,16.719739216451018
VEN,Venezuela (Bolivarian Republic of),862.0,,,,,,
VNM,Viet Nam,704.0,,,,,,
VIR,United States Virgin Islands,850.0,,,,,,
PSE,Palestine,275.0,5.3138898775539,5.74072201287886,18.7818419132978,,,9.94548460124352
YEM,Yemen,887.0,,,,,,
ZMB,Zambia,894.0,13.3531814269452,15.1848569608409,16.5870654729348,16.6776226628035,16.442596894579,15.64906468362068
ZWE,Zimbabwe,716.0,15.4583408165803,15.8743745304837,13.6031256253675,,,14.978613657477167
