ISO3_Code,Country_Name,M49_Code,Immunization_Measles_2016,Immunization_Measles_2017,Immunization_Measles_2018,Immunization_Measles_2019,Immunization_Measles_2020,Immunization_Measles_Avg
NER,Niger,562.0,76.0,82.0,77.0,79.0,79.0,78.6
NGA,Nigeria,566.0,47.0,54.0,56.0,57.0,59.0,54.6
MKD,North Macedonia,807.0,82.0,83.0,75.0,75.0,63.0,75.6
MNP,Northern Mariana Islands,580.0,,,,,,
NOR,Norway,578.0,96.0,96.0,96.0,97.0,97.0,96.4
OMN,Oman,512.0,99.0,99.0,99.0,99.0,99.0,99.0
PAK,Pakistan,586.0,75.0,76.0,79.0,81.0,83.0,78.8
PLW,Palau,585.0,96.0,93.0,90.0,97.0,93.0,93.8
PAN,Panama,591.0,95.0,98.0,98.0,97.0,80.0,93.6
PNG,Papua New Guinea,598.0,46.0,38.0,37.0,37.0,47.0,41.0
PRY,Paraguay,600.0,85.0,92.0,93.0,87.0,80.0,87.4
PER,Peru,604.0,88.0,83.0,85.0,85.0,77.0,83.6
PHL,Philippines,608.0,80.0,78.0,77.0,75.0,72.0,76.4
POL,Poland,616.0,96.0,94.0,93.0,93.0,80.0,91.2
PRT,Portugal,620.0,98.0,98.0,99.0,99.0,99.0,98.6
PRI,Puerto Rico,630.0,,,,,,
QAT,Qatar,634.0,99.0,99.0,99.0,99.0,90.0,97.2
ROU,Romania,642.0,86.0,86.0,90.0,90.0,87.0,87.8
RUS,Russian Federation,643.0,98.0,98.0,98.0,98.0,97.0,97.8
RWA,Rwanda,646.0,95.0,97.0,99.0,96.0,94.0,96.2
WSM,Samoa,882.0,75.0,67.0,40.0,96.0,66.0,68.8
SMR,San Marino,674.0,82.0,86.0,89.0,86.0,90.0,86.6
STP,Sao Tome and Principe,678.0,93.0,90.0,95.0,95.0,86.0,91.8
SAU,Saudi Arabia,682.0,98.0,96.0,98.0,95.0,96.0,96.6
SEN,Senegal,686.0,93.0,90.0,86.0,89.0,88.0,89.2
SRB,Serbia,688.0,82.0,86.0,92.0,87.0,78.0,85.0
SYC,Seychelles,690.0,97.0,99.0,96.0,99.0,97.0,97.6
SLE,Sierra Leone,694.0,85.0,80.0,87.0,93.0,87.0,86.4
SGP,Singapore,702.0,95.0,95.0,95.0,95.0,95.0,95.0
SXM,Sint Maarten (Dutch part),534.0,,,,,,
SVK,Slovakia,703.0,95.0,96.0,96.0,96.0,96.0,95.8
SVN,Slovenia,705.0,92.0,93.0,93.0,94.0,94.0,93.2
SLB,Solomon Islands,90.0,82.0,84.0,93.0,81.0,81.0,84.2
SOM,Somalia,706.0,46.0,46.0,46.0,46.0,46.0,46.0
ZAF,South Africa,710.0,84.0,81.0,81.0,83.0,84.0,82.6
SSD,South Sudan,728.0,51.0,50.0,49.0,49.0,49.0,49.6
ESP,Spain,724.0,97.0,98.0,98.0,98.0,96.0,97.4
LKA,Sri Lanka,144.0,99.0,99.0,99.0,99.0,96.0,98.4
KNA,Saint Kitts and Nevis,659.0,98.0,93.0,96.0,97.0,95.0,95.8
LCA,Saint Lucia,662.0,99.0,87.0,86.0,96.0,89.0,91.4
MAF,Saint-Martin (French part),663.0,,,,,,
VCT,Saint Vincent and the Grenadines,670.0,99.0,99.0,99.0,99.0,99.0,99.0
SDN,Sudan,729.0,86.0,90.0,88.0,90.0,86.0,88.0
SUR,Suriname,740.0,76.0,76.0,77.0,64.0,45.0,67.6
SWE,Sweden,752.0,97.0,97.0,97.0,97.0,97.0,97.0
CHE,Switzerland,756.0,94.0,95.0,95.0,95.0,97.0,95.2
SYR,Syrian Arab Republic,760.0,62.0,67.0,63.0,65.0,59.0,63.2
TJK,Tajikistan,762.0,97.0,98.0,98.0,98.0,98.0,97.8
TZA,United Republic of Tanzania,834.0,83.0,90.0,88.0,88.0,84.0,86.6
THA,Thailand,764.0,99.0,99.0,96.0,96.0,96.0,97.2
TLS,Timor-Leste,626.0,73.0,77.0,77.0,85.0,79.0,78.2
TGO,Togo,768.0,73.0,77.0,71.0,75.0,69.0,73.0
TON,Tonga,776.0,98.0,99.0,99.0,99.0,99.0,98.8
TTO,Trinidad and Tobago,780.0,86.0,93.0,90.0,99.0,91.0,91.8
TUN,Tunisia,788.0,96.0,98.0,96.0,98.0,98.0,97.2
TUR,Türkiye,792.0,98.0,96.0,96.0,97.0,95.0,96.4
TKM,Turkmenistan,795.0,99.0,99.0,99.0,99.0,98.0,98.8
TCA,Turks and Caicos Islands,796.0,,,,,,
TUV,Tuvalu,798.0,96.0,95.0,88.0,96.0,93.0,93.6
UGA,Uganda,800.0,79.0,83.0,86.0,87.0,89.0,84.8
UKR,Ukraine,804.0,42.0,86.0,91.0,93.0,85.0,79.4
ARE,United Arab Emirates,784.0,99.0,99.0,99.0,99.0,99.0,99.0
GBR,United Kingdom of Great Britain and Northern Ireland,826.0,92.0,92.0,92.0,91.0,91.0,91.6
USA,United States of America,840.0,92.0,91.0,92.0,90.0,91.0,91.2
URY,Uruguay,858.0,95.0,96.0,97.0,96.0,95.0,95.8
UZB,Uzbekistan,860.0,99.0,99.0,96.0,98.0,99.0,98.2
VUT,Vanuatu,548.0,84.0,80.0,75.0,80.0,78.0,79.4
VEN,Venezuela (Bolivarian Republic of),862.0,88.0,96.0,74.0,93.0,76.0,85.4
VNM,Viet Nam,704.0,99.0,97.0,97.0,95.0,97.0,97.0
VIR,United States Virgin Islands,850.0,,,,,,
PSE,Palestine,275.0,99.0,99.0,99.0,99.0,99.0,99.0
YEM,Yemen,887.0,70.0,65.0,64.0,67.0,68.0,66.8
ZMB,Zambia,894.0,97.0,96.0,94.0,93.0,96.0,95.2
ZWE,Zimbabwe,716.0,95.0,90.0,88.0,85.0,85.0,88.6
