Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belgium,BEL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Belize,BLZ,93.22231293,94.18901062,91.72000122,92.72000122,97.11333466
Access to electricity (% of population),EG.ELC.ACCS.ZS,Benin,BEN,37.09524536,34.5,39.24691772,40.32868958,41.41095734
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bermuda,BMU,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bhutan,BTN,99.58979034,97.69999695,99.97436523,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,91.80000305,91.80000305,92.80000305,95.08000183,97.55412292
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bosnia and Herzegovina,BIH,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Botswana,BWA,64.17505646,67.40000153,68.22926331,69.95973969,71.99475861
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brazil,BRA,99.69999695,99.80000305,99.69999695,99.80000305,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,British Virgin Islands,VGB,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Brunei Darussalam,BRN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bulgaria,BGR,100,100,100,100,99.69999695
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burkina Faso,BFA,16.64105606,17.21404266,14.39999962,18.37485504,18.95723915
Access to electricity (% of population),EG.ELC.ACCS.ZS,Burundi,BDI,9.348409653,9.300000191,10.88490868,11.35652828,11.73555565
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cabo Verde,CPV,87.5449295,88.69096375,90.41175079,91.40000153,94.16174316
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cambodia,KHM,69.54431152,89.06999969,81.07565308,84,86.40000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cameroon,CMR,59.80877686,61.03086472,62.20000076,63.48987961,64.72136688
Access to electricity (% of population),EG.ELC.ACCS.ZS,Canada,CAN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cayman Islands,CYM,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central African Republic,CAF,13.53381634,14.29954147,14.84237576,14.30000019,15.46508408
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chad,TCD,9.263847351,10.89999962,10.11404037,8.399999619,11.08011723
Access to electricity (% of population),EG.ELC.ACCS.ZS,Channel Islands,CHI,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Chile,CHL,100,99.69999695,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,China,CHN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Colombia,COL,98.40000153,98.5,98.5,99.75592041,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Comoros,COM,76.99304199,79.42300415,81.85890961,84.29777527,86.73713684
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Dem. Rep.",COD,17.04183769,17.91650963,18.56829071,19.10000038,19.10000038
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Congo, Rep.",COG,45.50832748,46.57394791,47.41667557,48.40747452,49.51710129
Access to electricity (% of population),EG.ELC.ACCS.ZS,Costa Rica,CRI,99.5,99.59999847,99.69999695,99.70999908,99.90000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cote d'Ivoire,CIV,64.30000305,65.59999847,67.14739227,68.45955658,69.67912292
Access to electricity (% of population),EG.ELC.ACCS.ZS,Croatia,HRV,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cuba,CUB,98.95478821,99.23503113,99.52120972,99.80000305,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Curacao,CUW,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Cyprus,CYP,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Czechia,CZE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Denmark,DNK,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Djibouti,DJI,58.67544556,60.20000076,60.5641861,61.21192932,61.76708221
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominica,DMA,99.98353577,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Dominican Republic,DOM,98.90000153,100,98.90000153,99,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ecuador,ECU,98.69999695,99.19999695,98.69999695,99.08999634,98.84999847
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Egypt, Arab Rep.",EGY,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,El Salvador,SLV,96,96.80000305,97,97.36000061,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Equatorial Guinea,GNQ,66.17035675,66.30863953,66.45285797,66.60004425,66.74772644
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eritrea,ERI,47.24803925,48.47274399,49.7033844,50.93699265,52.1710968
Access to electricity (% of population),EG.ELC.ACCS.ZS,Estonia,EST,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Eswatini,SWZ,63.43000031,73.5,73.91577911,76.86943817,79.73049927
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ethiopia,ETH,42.90000153,44.29999924,44.94060135,48.063591,51.0939827
Access to electricity (% of population),EG.ELC.ACCS.ZS,Faroe Islands,FRO,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fiji,FJI,96.56174469,96,99.37250519,99.71588135,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Finland,FIN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,France,FRA,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,French Polynesia,PYF,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gabon,GAB,88.2038269,86.26999664,89.8815155,90.72629547,91.57156372
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Gambia, The",GMB,56.32740784,56.20000076,60.29999924,62.09999847,62.27306747
Access to electricity (% of population),EG.ELC.ACCS.ZS,Georgia,GEO,100,100,99.90000153,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Germany,DEU,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ghana,GHA,79.30000305,79,80.40000153,83.5,85.87355042
Access to electricity (% of population),EG.ELC.ACCS.ZS,Gibraltar,GIB,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greece,GRC,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Greenland,GRL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Grenada,GRD,91.73786926,92.19395447,92.30000305,93.12096405,93.58644867
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guam,GUM,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guatemala,GTM,91.81558228,93.30000305,94.42923737,95.74200439,97.05526733
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea,GIN,33.5,35.40000153,45,42.20000076,44.66867828
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guinea-Bissau,GNB,22.96879196,26,28.49505615,30.96155739,33.33546829
Access to electricity (% of population),EG.ELC.ACCS.ZS,Guyana,GUY,89.17035675,90.29581451,91.19837952,91.91575623,92.5405426
Access to electricity (% of population),EG.ELC.ACCS.ZS,Haiti,HTI,40.40000153,43.74927139,44.96234512,45.99023438,46.92553329
Access to electricity (% of population),EG.ELC.ACCS.ZS,Honduras,HND,91.59999847,86.5,91.59999847,91.09999847,93.20671082
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Hong Kong SAR, China",HKG,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Hungary,HUN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Iceland,ISL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,India,IND,89.21779633,92.12494659,95.69999695,97.30826569,99
Access to electricity (% of population),EG.ELC.ACCS.ZS,Indonesia,IDN,97.62000275,98.13999939,98.51000214,98.84999847,96.94999695
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Iran, Islamic Rep.",IRN,99.94999695,99.94000244,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Iraq,IRQ,99.60430145,99.87207031,99.90000153,99.99200439,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ireland,IRL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Isle of Man,IMN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Israel,ISR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Italy,ITA,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jamaica,JAM,96.7379837,97.60958099,98.48712158,99.36762238,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Japan,JPN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Jordan,JOR,99.95882416,100,99.90000153,100,99.90000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kazakhstan,KAZ,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kenya,KEN,53.09999847,55.97640991,61.2845726,69.69999695,71.4379425
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kiribati,KIR,92.79961395,86.17644501,88.10316467,90.03285217,91.96302795
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Dem. People's Rep.",PRK,42.96073532,45.2928772,47.63095474,49.97200012,52.31354523
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Korea, Rep.",KOR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kosovo,XKX,99.80000305,99.80000305,..,100,..
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kuwait,KWT,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kyrgyz Republic,KGZ,99.70999908,100,100,99.87423706,99.98104858
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lao PDR,LAO,90.54953003,93.59999847,97.79715729,99.09208679,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Latvia,LVA,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lebanon,LBN,99.72562408,99.87982941,99.69999695,99.97486877,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lesotho,LSO,35.07159042,33.70000076,47,44.50020981,47.35273743
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liberia,LBR,17.70000076,24.20000076,22.87913322,23.10000038,27.53470993
Access to electricity (% of population),EG.ELC.ACCS.ZS,Libya,LBY,71.83022308,70.24076843,67,68.64240265,69.70735168
Access to electricity (% of population),EG.ELC.ACCS.ZS,Liechtenstein,LIE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Lithuania,LTU,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Luxembourg,LUX,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Macao SAR, China",MAC,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Madagascar,MDG,22.89999962,24.10000038,36.5,31.04000092,33.7350769
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malawi,MWI,11,12.69999981,18.02000046,11.19999981,14.86676884
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malaysia,MYS,99.90000153,99.95248413,99.99224091,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Maldives,MDV,100,99.80000305,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mali,MLI,38.78982162,34.77999878,50.90000153,47.83627701,50.56141663
Access to electricity (% of population),EG.ELC.ACCS.ZS,Malta,MLT,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Marshall Islands,MHL,93.36882782,94.29734802,95.91629028,97.53820038,99.16060638
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritania,MRT,41.32161713,42.90000153,44.3121376,45.83003235,47.34841919
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mauritius,MUS,99.48001099,99.61000061,99.44884491,100,99.66165161
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mexico,MEX,99.5,100,99.5,99.59999847,99.40000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Micronesia, Fed. Sts.",FSM,75.96201324,77.94390869,79.70291138,81.2767334,82.92591858
Access to electricity (% of population),EG.ELC.ACCS.ZS,Moldova,MDA,100,99.98000336,99.98999786,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Monaco,MCO,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mongolia,MNG,89.83840942,92.51256561,98.09999847,97.2299118,98.09999847
Access to electricity (% of population),EG.ELC.ACCS.ZS,Montenegro,MNE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Morocco,MAR,97.80000305,100,98.09999847,99.59999847,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Mozambique,MOZ,26.246521,24.29999924,31.10000038,29.67444992,30.60383224
Access to electricity (% of population),EG.ELC.ACCS.ZS,Myanmar,MMR,55.59999847,69.81483459,66.22727966,68.35852814,70.39719391
Access to electricity (% of population),EG.ELC.ACCS.ZS,Namibia,NAM,49.70000076,52.5,54.00289536,55.17708969,56.2586937
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nauru,NRU,99.712883,99.87004089,99.92822266,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nepal,NPL,90.69999695,87.89634705,93.91999817,89.90000153,89.90000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Netherlands,NLD,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Caledonia,NCL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,New Zealand,NZL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nicaragua,NIC,84.64011383,85.98983765,87.11667633,88.05832672,88.90737915
Access to electricity (% of population),EG.ELC.ACCS.ZS,Niger,NER,17.27152061,18.04952621,17.60000038,18.97457123,19.25190926
Access to electricity (% of population),EG.ELC.ACCS.ZS,Nigeria,NGA,59.29999924,54.40000153,56.5,55.40000153,55.40000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,North Macedonia,MKD,100,100,99.80000305,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Northern Mariana Islands,MNP,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Norway,NOR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Oman,OMN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Pakistan,PAK,71.5502243,70.79000092,72.78310394,74.12769318,75.37969208
Access to electricity (% of population),EG.ELC.ACCS.ZS,Palau,PLW,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Panama,PAN,93.16477203,93.69999695,94.9285202,95.81632996,96.70463562
Access to electricity (% of population),EG.ELC.ACCS.ZS,Papua New Guinea,PNG,49.40000153,54.40000153,55.72738647,59.66297531,60.40000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Paraguay,PRY,98.40000153,99.30000305,99.59999847,99.69999695,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Peru,PER,94.19999695,94.80000305,95.19999695,95.55136108,99.31181335
Access to electricity (% of population),EG.ELC.ACCS.ZS,Philippines,PHL,92.06650543,93,94.44826508,95.64508057,96.84238434
Access to electricity (% of population),EG.ELC.ACCS.ZS,Poland,POL,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Portugal,PRT,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Puerto Rico,PRI,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Qatar,QAT,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Romania,ROU,99.09999847,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Russian Federation,RUS,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Rwanda,RWA,29.37000084,34.09999847,36.96815109,40.36860657,46.59999847
Access to electricity (% of population),EG.ELC.ACCS.ZS,Samoa,WSM,99.62329102,96.80000305,99.99447632,99.19999695,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,San Marino,SMR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sao Tome and Principe,STP,69.32051849,74.26999664,71,74.96720123,76.55908966
Access to electricity (% of population),EG.ELC.ACCS.ZS,Saudi Arabia,SAU,99.90000153,99.93000031,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Senegal,SEN,64.5,61.70000076,66,70.40000153,70.36894226
Access to electricity (% of population),EG.ELC.ACCS.ZS,Serbia,SRB,100,100,100,99.80000305,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Seychelles,SYC,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sierra Leone,SLE,20.29999924,23.39999962,26.10000038,22.70000076,26.20088577
Access to electricity (% of population),EG.ELC.ACCS.ZS,Singapore,SGP,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sint Maarten (Dutch part),SXM,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovak Republic,SVK,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Slovenia,SVN,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Solomon Islands,SLB,58.32719421,62.90000153,66.17976379,69.80941772,73.34648132
Access to electricity (% of population),EG.ELC.ACCS.ZS,Somalia,SOM,51.11323547,52.09999847,50.7649765,49.20000076,49.73086929
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Africa,ZAF,83.90000153,84.40000153,84.69999695,85,84.38553619
Access to electricity (% of population),EG.ELC.ACCS.ZS,South Sudan,SSD,5.117367744,4.199999809,6.173169613,6.707006931,7.241338253
Access to electricity (% of population),EG.ELC.ACCS.ZS,Spain,ESP,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sri Lanka,LKA,97.5,97.5,99.56487274,99.75856781,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Kitts and Nevis,KNA,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Lucia,LCA,97.63970947,98.27980804,98.87739563,99.50218201,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Martin (French part),MAF,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,St. Vincent and the Grenadines,VCT,99.80084229,99.97770691,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sudan,SDN,48.84940338,50.75471878,52.44700241,53.96253967,55.38970184
Access to electricity (% of population),EG.ELC.ACCS.ZS,Suriname,SUR,95.8163147,96.69633484,97.40000153,97.82541656,98.20477295
Access to electricity (% of population),EG.ELC.ACCS.ZS,Sweden,SWE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Switzerland,CHE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Syrian Arab Republic,SYR,89.66923523,89.53094482,86,89.26921082,89.14031982
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tajikistan,TJK,99.20831299,99.30000305,99.30000305,99.63320923,99.77929688
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tanzania,TZA,32.79999924,32.25117493,35.04802322,37.65968704,39.90000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Thailand,THA,99.84996033,99.90000153,99.81999969,99.90000153,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Timor-Leste,TLS,76.5,79.77896118,85.38140106,90.79865265,96.1233139
Access to electricity (% of population),EG.ELC.ACCS.ZS,Togo,TGO,46.76501083,48,50,52.36310959,53.99743271
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tonga,TON,97.01999664,98.36157227,99.13256836,98.40000153,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Trinidad and Tobago,TTO,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tunisia,TUN,100,100,99.80000305,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkiye,TUR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turkmenistan,TKM,99.98989868,99.99624634,100,99.90000153,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Turks and Caicos Islands,TCA,100,100,100,100,99.40000153
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tuvalu,TUV,97.30000305,98.85383606,99.06538391,99.69999695,99.68923187
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uganda,UGA,26.70000076,32.5211525,41.91999817,41.29999924,42.07441711
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ukraine,UKR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Arab Emirates,ARE,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United Kingdom,GBR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,United States,USA,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uruguay,URY,99.69999695,99.80000305,99.80000305,99.90000153,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Uzbekistan,UZB,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Vanuatu,VUT,57.81999969,62.79999924,61.75451279,64.59018707,67.33326721
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Venezuela, RB",VEN,99.40000153,99.19999695,99.91120148,99.97681427,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Vietnam,VNM,99.19999695,100,100,99.40000153,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Virgin Islands (U.S.),VIR,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,West Bank and Gaza,PSE,100,99.69999695,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,"Yemen, Rep.",YEM,68.8595047,79.19999695,62,72.75107574,73.75792694
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zambia,ZMB,35.42545319,40.29999924,40.31789017,43,44.5244751
Access to electricity (% of population),EG.ELC.ACCS.ZS,Zimbabwe,ZWE,42.56172943,44.17863464,45.57264709,46.78147507,52.74766922
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Eastern and Southern,AFE,38.88017322,40.2613576,43.06187695,44.27086048,45.80348523
Access to electricity (% of population),EG.ELC.ACCS.ZS,Africa Western and Central,AFW,50.95348668,48.86119122,51.25971164,51.29019299,52.111601
Access to electricity (% of population),EG.ELC.ACCS.ZS,Arab World,ARB,89.19506235,90.32465949,88.9107494,89.99994555,90.27773508
Access to electricity (% of population),EG.ELC.ACCS.ZS,Caribbean small states,CSS,96.69120818,97.29971146,97.68603014,98.22195403,98.8189269
Access to electricity (% of population),EG.ELC.ACCS.ZS,Central Europe and the Baltics,CEB,99.82783441,100,100,100,99.97964003
Access to electricity (% of population),EG.ELC.ACCS.ZS,Early-demographic dividend,EAR,87.01923574,89.37683677,91.11032606,92.25127606,93.38221567
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific,EAS,97.19810814,97.85481497,97.8737146,98.05755679,98.01333385
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (excluding high income),EAP,96.89654895,97.62503249,97.64680515,97.85089599,97.8028927
Access to electricity (% of population),EG.ELC.ACCS.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,97.56669522,98.27341829,98.26531696,98.44227382,98.36447347
Access to electricity (% of population),EG.ELC.ACCS.ZS,Euro area,EMU,100,100,100,100,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia,ECS,99.96962217,99.99141644,99.99183537,99.99325153,99.99532134
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (excluding high income),ECA,99.97470142,99.98013803,99.98109065,99.98444102,99.98920108
Access to electricity (% of population),EG.ELC.ACCS.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,99.93914382,99.98281942,99.98363605,99.98651433,99.99063694
Access to electricity (% of population),EG.ELC.ACCS.ZS,European Union,EUU,99.96019628,100,100,100,99.99535124
Access to electricity (% of population),EG.ELC.ACCS.ZS,Fragile and conflict affected situations,FCS,54.59298425,54.93093532,55.03362205,55.85669124,56.53725099
Access to electricity (% of population),EG.ELC.ACCS.ZS,Heavily indebted poor countries (HIPC),HPC,40.69850751,41.59826654,44.21251265,44.98610282,46.54240695
Access to electricity (% of population),EG.ELC.ACCS.ZS,High income,HIC,99.9584751,99.97133103,99.9818667,99.98504682,99.98829845
Access to electricity (% of population),EG.ELC.ACCS.ZS,IBRD only,IBD,95.77856364,96.72575421,97.78261009,98.31733801,98.77844707
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA & IBRD total,IBT,85.67812852,86.74304153,87.89333811,88.4214883,89.02166857
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA blend,IDB,65.39697064,63.80249153,65.93210709,66.99886493,67.86806946
Access to electricity (% of population),EG.ELC.ACCS.ZS,IDA only,IDX,50.14615242,53.67821276,55.30269842,56.20714372,57.85930757
