Country Name,Country Code,Series Name,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Togo,TGO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,73,77,71,75,69
Tonga,TON,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,99,99,99,99
Trinidad and Tobago,TTO,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86,93,90,99,91
Tunisia,TUN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,98,96,98,98
Turkiye,TUR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,98,96,96,97,95
Turkmenistan,TKM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,98
Turks and Caicos Islands,TCA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
Tuvalu,TUV,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,96,95,88,96,93
Uganda,UGA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,79,83,86,87,89
Ukraine,UKR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,42,86,91,93,85
United Arab Emirates,ARE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
United Kingdom,GBR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,92,92,91,91
United States,USA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92,91,92,90,91
Uruguay,URY,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,96,97,96,95
Uzbekistan,UZB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,96,98,99
Vanuatu,VUT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84,80,75,80,78
"Venezuela, RB",VEN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,88,96,74,93,76
Vietnam,VNM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,97,97,95,97
Virgin Islands (U.S.),VIR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..
West Bank and Gaza,PSE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,99,99,99,99,99
"Yemen, Rep.",YEM,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,70,65,64,67,68
Zambia,ZMB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97,96,94,93,96
Zimbabwe,ZWE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,95,90,88,85,85
Africa Eastern and Southern,AFE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,73.4033934566653,73.9730892975359,73.3618353565091,74.5218431159033,72.8911480279551
Africa Western and Central,AFW,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,60.954915849237,64.2367972803835,64.7926219443271,65.4124780880165,65.109130395576
Arab World,ARB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86.7319800942098,86.0567093554037,84.9382755295381,84.9760439425979,82.8739246304868
Caribbean small states,CSS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,92.106253830961,92.6094315650237,89.776059705691,92.1710570753124,87.4713537690518
Central Europe and the Baltics,CEB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.8135291923249,93.2123602216277,93.4908092108663,93.26661144747,87.5390337089235
Early-demographic dividend,EAR,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,86.396871376546,86.351138759762,87.8776850679641,87.9127950879722,85.0420607635018
East Asia & Pacific,EAS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94.668026034165,94.5588524212238,94.6118953610379,93.9328139495064,92.2226230327394
East Asia & Pacific (excluding high income),EAP,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94.5716834965488,94.4481670632832,94.4963079744512,93.8124840983429,91.9483952342463
East Asia & Pacific (IDA & IBRD countries),TEA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,94.5182815128085,94.3933174214466,94.4534313315917,93.760452660375,91.8595200881245
Euro area,EMU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.2330476878743,94.2202141265953,94.4023977983767,95.1047352805589,94.5846292073789
Europe & Central Asia,ECS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.2719534211814,95.1036437879982,95.2106764077006,95.6530794039708,93.610548148999
Europe & Central Asia (excluding high income),ECA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.2668172924015,96.2160375906554,96.2787567050378,96.92553222537,94.295298807552
Europe & Central Asia (IDA & IBRD countries),TEC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.1986587294543,95.7662720210089,95.893345680238,96.4692911008505,93.2026768356748
European Union,EUU,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.4527157496444,94.079549323429,94.2739913658065,94.7406248683268,92.9569833522891
Fragile and conflict affected situations,FCS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,64.1966915332073,66.9653946465571,66.5702625555736,67.1202313063563,66.6252234916607
Heavily indebted poor countries (HIPC),HPC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,72.6123210049193,73.9246802957717,73.1273678897494,73.6258841498805,71.9835204985649
High income,HIC,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,93.6141583417491,93.4928944034654,93.9661920070171,93.2505001881107,92.9326541008579
IBRD only,IBD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,91.453624337514,91.3644679657781,92.8255719794472,92.6247728012627,88.9955802713308
IDA & IBRD total,IBT,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,84.2993595913164,84.7234263969077,85.634464679521,85.6442048018248,83.2111270637506
IDA blend,IDB,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,66.1410078080896,68.2458494654005,69.6125073373324,70.7233656350978,72.3143305569404
IDA only,IDX,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,75.7366579671401,76.7985636761892,76.42068047589,76.6820652591773,75.2902968074375
IDA total,IDA,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,72.4656812949648,73.884650346306,74.1028261940343,74.6564347221474,74.2807697032161
Late-demographic dividend,LTE,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,97.8378947891845,97.3543179069673,97.4487595194166,97.291011019823,95.4105491148974
