Country,ISO3,Region,CPI score 2020,Rank 2020,Sources 2020,Standard error 2020,CPI score 2019,Rank 2019,Sources 2019,Standard error 2019,CPI score 2018,Rank 2018,Sources 2018,Standard error 2018,CPI score 2017,Rank 2017,Sources 2017,Standard error 2017,CPI score 2016,Sources 2016,Standard error 2016
Seychelles,SYC,SSA,66,27,4,2.97,66,27,4,3.4,66,28,4,3.08,60,36,4,8.32,,,
Taiwan,TWN,AP,65,28,8,2.06,65,28,8,3.03,63,31,8,3.06,63,29,8,3.28,61,8,3.79
Barbados,BRB,AME,64,29,4,5.47,62,30,4,6.06,68,25,3,3.12,68,25,3,3.24,61,3,6.91
Bahamas,BHS,AME,63,30,3,5.8,64,29,3,5.83,65,29,3,5.39,65,28,3,5.39,66,3,5.2
Qatar,QAT,MENA,63,30,7,5.35,62,30,7,8,62,33,7,8.08,63,29,7,7.5,61,7,7.02
Spain,ESP,WE/EU,62,32,8,2.01,62,30,8,3.17,58,41,8,4.33,57,42,8,3.78,58,7,4.09
"Korea, South",KOR,AP,61,33,10,1.11,59,39,10,2.44,57,45,10,2.74,54,51,10,2.24,53,9,2.33
Portugal,PRT,WE/EU,61,33,8,1.73,62,30,8,2.82,64,30,8,2.14,63,29,8,2.56,62,8,2.58
Botswana,BWA,SSA,60,35,7,2.88,61,34,7,3.73,61,34,7,2.76,61,34,7,2.74,60,6,3.1
Brunei Darussalam,BRN,AP,60,35,3,5.59,60,35,3,6.12,63,31,3,6.62,62,32,3,8.72,58,3,8.85
Israel,ISR,MENA,60,35,7,1.34,60,35,7,1.99,61,34,7,1.49,62,32,7,2.19,64,6,2.27
Lithuania,LTU,WE/EU,60,35,9,1.34,60,35,9,2.32,59,38,9,2.3,59,38,9,2.21,59,9,1.36
Slovenia,SVN,WE/EU,60,35,10,1.13,60,35,10,2.28,60,36,10,2.37,61,34,10,2.78,61,10,2.44
Saint Vincent and the Grenadines,VCT,AME,59,40,3,4.02,59,39,3,4.14,58,41,3,3.39,58,40,3,3.39,60,3,1.66
Cabo Verde,CPV,SSA,58,41,4,3.72,58,41,4,4.3,57,45,4,4.22,55,48,4,4.19,59,3,5.72
Costa Rica,CRI,AME,57,42,7,2.58,56,44,7,3.97,56,48,7,3.65,59,38,7,2.98,58,7,3.17
Cyprus,CYP,WE/EU,57,42,7,3.19,58,41,7,3.41,59,38,7,3.54,57,42,7,3.78,55,5,5.94
Latvia,LVA,WE/EU,57,42,9,1.92,56,44,9,3.53,58,41,9,2.95,58,40,9,3.21,57,9,2.96
Georgia,GEO,ECA,56,45,5,3.15,56,44,5,3.84,58,41,6,3.92,56,46,6,3.1,57,6,3.61
Poland,POL,WE/EU,56,45,10,1.39,58,41,10,1.85,60,36,10,1.69,60,36,10,1.36,62,10,1.77
Saint Lucia,LCA,AME,56,45,3,4.17,55,48,3,4.15,55,50,3,4.27,55,48,3,4.27,60,3,6.8
Dominica,DMA,AME,55,48,3,1.98,55,48,3,2.16,57,45,3,2.55,57,42,3,2.55,59,3,0.85
Czechia,CZE,WE/EU,54,49,10,1.1,56,44,10,1.87,59,38,10,2.28,57,42,10,1.98,55,9,2.24
Oman,OMN,MENA,54,49,6,7.47,52,56,6,9.78,52,53,6,9.46,44,68,5,7,45,5,7.07
Rwanda,RWA,SSA,54,49,7,3.39,53,51,7,4.75,56,48,6,6.07,55,48,6,6,54,6,5.07
Grenada,GRD,AME,53,52,3,3.48,53,51,3,4.37,52,53,3,3,52,52,3,3,56,3,4.63
Italy,ITA,WE/EU,53,52,8,2.11,53,51,8,3.22,52,53,8,3.29,50,54,8,3.72,47,7,3.34
Malta,MLT,WE/EU,53,52,6,1.42,54,50,6,1.55,54,51,5,1.39,56,46,5,1.18,55,5,1.39
Mauritius,MUS,SSA,53,52,6,1.54,52,56,6,3.12,51,56,5,3.83,50,54,5,4.41,54,4,2.14
Saudi Arabia,SAU,MENA,53,52,7,5.36,53,51,7,7.56,49,58,7,6.34,49,57,7,6.14,46,5,7.54
Malaysia,MYS,AP,51,57,9,1.62,53,51,9,2.29,47,61,9,2.86,47,62,9,2.67,49,8,2.46
Namibia,NAM,SSA,51,57,7,1.88,52,56,7,3.13,53,52,6,3.72,51,53,6,3.22,52,5,2.03
Greece,GRC,WE/EU,50,59,8,1.81,48,60,8,2.57,45,67,8,2.51,48,59,8,2.98,44,7,2.5
Armenia,ARM,ECA,49,60,6,3.5,42,77,6,4.31,35,105,6,4,35,107,6,3.79,33,6,4.01
Jordan,JOR,MENA,49,60,8,2.2,48,60,8,3.29,49,58,8,3.21,48,59,8,2.99,48,8,3.03
Slovakia,SVK,WE/EU,49,60,9,2.69,50,59,9,4.57,50,57,9,4.11,50,54,9,3.32,51,8,3.09
Belarus,BLR,ECA,47,63,7,3.38,45,66,7,4.2,44,70,7,3.92,44,68,7,4.12,40,7,3.93
Croatia,HRV,WE/EU,47,63,10,1.48,47,63,10,2.42,48,60,10,2.77,49,57,10,2.64,49,9,2.39
Cuba,CUB,AME,47,63,5,2.81,48,60,5,1.87,47,61,5,2.56,47,62,5,2.36,47,5,2.9
Sao Tome and Principe,STP,SSA,47,63,4,5.06,46,64,4,5.36,46,64,4,5.05,46,64,4,5.21,46,3,0.93
Montenegro,MNE,ECA,45,67,5,3.25,45,66,5,4.84,45,67,5,4.43,46,64,5,2.45,45,4,2.89
Senegal,SEN,SSA,45,67,9,1.33,45,66,9,2.06,45,67,9,2.51,45,66,9,2.52,45,8,2.63
Bulgaria,BGR,WE/EU,44,69,10,1.29,43,74,10,2.77,42,77,10,2.41,43,71,10,2.66,41,9,2.2
Hungary,HUN,WE/EU,44,69,10,1.27,44,70,10,2.58,46,64,10,2.79,45,66,10,2.89,48,9,2.89
Jamaica,JAM,AME,44,69,7,3.34,43,74,7,3.58,44,70,7,3.37,44,68,7,3.96,39,6,1.84
Romania,ROU,WE/EU,44,69,10,0.89,44,70,10,2.76,47,61,10,3.25,48,59,10,3.12,48,10,3
South Africa,ZAF,SSA,44,69,8,2.17,44,70,8,3.44,43,73,8,3.8,43,71,8,3.98,45,7,2.55
Tunisia,TUN,MENA,44,69,7,2.83,43,74,7,3.94,43,73,7,3.86,42,74,7,3.73,41,7,3.9
Ghana,GHA,SSA,43,75,9,1.52,41,80,9,2.76,41,78,9,2.54,40,81,9,2.56,43,9,2.89
Maldives,MDV,AP,43,75,3,7.69,29,130,3,2.57,31,124,3,2.24,33,112,3,1.71,36,3,5.66
Vanuatu,VUT,AP,43,75,3,3.59,46,64,3,6.38,46,64,3,5.97,43,71,3,3.93,,,
Argentina,ARG,AME,42,78,8,2.32,45,66,8,3.29,40,85,8,2.7,39,85,8,2.92,36,8,1.76
Bahrain,BHR,MENA,42,78,6,5.91,42,77,6,7.65,36,99,4,1.81,36,103,4,1.81,43,5,5.96
China,CHN,AP,42,78,8,1.63,41,80,8,2.1,39,87,8,2.02,41,77,9,1.96,40,8,2.39
Kuwait,KWT,MENA,42,78,6,1.88,40,85,6,1.88,41,78,6,3.47,39,85,6,2.47,41,5,2.67
Solomon Islands,SLB,AP,42,78,3,7.8,42,77,3,8.69,44,70,3,7.38,39,85,3,3.71,42,3,3.34
Benin,BEN,SSA,41,83,7,1.8,41,80,7,2.64,40,85,6,3.14,39,85,6,4.17,36,6,3.8
Guyana,GUY,AME,41,83,5,3.54,40,85,5,3.34,37,93,5,0.77,38,91,5,1.84,34,6,3.57
Lesotho,LSO,SSA,41,83,6,3.24,40,85,6,3.95,41,78,6,3.67,42,74,6,4.08,39,5,6.15
Burkina Faso,BFA,SSA,40,86,8,1.62,40,85,8,2.54,41,78,8,1.81,42,74,7,2.18,42,7,2.47
India,IND,AP,40,86,9,1.14,41,80,9,1.6,41,78,9,2.42,40,81,9,2.16,40,8,2.47
Morocco,MAR,MENA,40,86,7,2.22,41,80,7,3.15,43,73,7,3.68,40,81,7,2.6,37,7,1.74
Timor-Leste,TLS,AP,40,86,4,2.71,38,93,4,4.5,35,105,3,4.81,38,91,3,7.5,35,3,5.97
Trinidad and Tobago,TTO,AME,40,86,7,3.73,40,85,7,5.38,41,78,6,5.8,41,77,6,5.47,35,5,2.48
Turkey,TUR,ECA,40,86,9,2.06,39,91,9,3.34,41,78,9,3.03,40,81,8,1.8,41,9,1.8
Colombia,COL,AME,39,92,8,1.59,37,96,8,2.49,36,99,8,2.51,37,96,8,2.77,37,8,2.27
Ecuador,ECU,AME,39,92,7,1.73,38,93,7,2.19,34,114,7,3.46,32,117,7,2.66,31,6,1.96
Brazil,BRA,AME,38,94,8,2.5,35,106,8,4.06,35,105,8,4.05,37,96,8,4.24,40,8,4.34
Ethiopia,ETH,SSA,38,94,9,1,37,96,9,1.52,34,114,8,1.52,35,107,9,1.36,34,9,1.37
Kazakhstan,KAZ,ECA,38,94,9,3.12,34,113,9,4.18,31,124,9,3.6,31,122,9,3.59,29,9,3.35
Peru,PER,AME,38,94,8,1.98,36,101,8,3.07,35,105,8,3.1,37,96,8,3.35,35,7,2.04
Serbia,SRB,ECA,38,94,8,1.66,39,91,8,2.48,39,87,8,2.89,41,77,8,2.8,42,7,3.69
Sri Lanka,LKA,AP,38,94,8,1.17,38,93,7,2.11,38,89,7,1.85,38,91,7,1.82,36,7,1.64
Suriname,SUR,AME,38,94,4,1.69,44,70,4,4.76,43,73,4,3.22,41,77,4,4.08,45,4,7.53
Tanzania,TZA,SSA,38,94,9,0.8,37,96,9,1.92,36,99,9,1.83,36,103,9,1.55,32,9,1.84
Gambia,GMB,SSA,37,102,8,3.19,37,96,7,5.98,37,93,6,9.44,30,130,6,6.22,26,5,7.2
Indonesia,IDN,AP,37,102,9,1.71,40,85,9,3.76,38,89,9,3.35,37,96,9,3.12,37,8,2.39
Albania,ALB,ECA,36,104,8,0.92,35,106,8,2.51,36,99,8,1.65,38,91,8,1.81,39,7,1.99
Algeria,DZA,MENA,36,104,7,1.48,35,106,7,2.59,35,105,6,1.21,33,112,6,2.32,34,6,2.94
Cote d'Ivoire,CIV,SSA,36,104,9,1.46,35,106,9,2.49,35,105,9,2.05,36,103,8,2.03,34,8,2.03
El Salvador,SLV,AME,36,104,7,1.38,34,113,7,2.56,35,105,7,2.59,33,112,7,3.25,36,7,2.76
Kosovo,KSV,ECA,36,104,6,0.68,36,101,5,0.81,37,93,5,1.49,39,85,5,2.13,36,5,3.17
Thailand,THA,AP,36,104,9,1.31,36,101,9,2.45,36,99,9,2.08,37,96,9,2.03,35,9,2.44
Vietnam,VNM,AP,36,104,8,1.81,37,96,8,2.84,33,117,8,2.84,35,107,8,2.78,33,8,2.46
Bosnia and Herzegovina,BIH,ECA,35,111,7,1.87,36,101,7,1.95,38,89,7,1.86,38,91,7,2.56,39,7,1.7
Mongolia,MNG,AP,35,111,9,0.71,35,106,9,1.89,37,93,9,1.94,36,103,9,1.4,38,9,1.7
North Macedonia,MKD,ECA,35,111,7,2.44,35,106,7,3.56,37,93,7,3.38,35,107,6,4.49,37,7,4.97
Panama,PAN,AME,35,111,7,0.77,36,101,7,1.37,37,93,7,1.76,37,96,7,1.79,38,6,2.29
Moldova,MDA,ECA,34,115,9,1.24,32,120,9,2.4,33,117,9,2.13,31,122,9,1.54,30,9,2.18
Philippines,PHL,AP,34,115,9,0.92,34,113,9,1.59,36,99,9,1.55,34,111,9,1.9,35,9,1.58
Egypt,EGY,MENA,33,117,7,3.68,35,106,7,4.86,35,105,7,4.59,32,117,7,4.04,34,6,2.72
Eswatini,SWZ,SSA,33,117,4,4.93,34,113,4,6.08,38,89,3,4.48,39,85,3,5.81,,,
Nepal,NPL,AP,33,117,6,1.35,34,113,6,1.76,31,124,6,1.85,31,122,6,2,29,6,2.33
Sierra Leone,SLE,SSA,33,117,8,2.42,33,119,8,3.47,30,129,9,2.17,30,130,9,1.95,30,8,2.94
Ukraine,UKR,ECA,33,117,9,1.31,30,126,9,2.38,32,120,9,2.27,30,130,9,2.27,29,9,1.97
Zambia,ZMB,SSA,33,117,9,0.96,34,113,9,1.97,35,105,9,1.93,37,96,9,2.46,38,9,2.91
Niger,NER,SSA,32,123,7,1.2,32,120,7,1.72,34,114,6,2.98,33,112,6,3.27,35,5,3.25
Bolivia,BOL,AME,31,124,7,2.05,31,123,7,3,29,132,7,3.6,33,112,6,2.98,33,8,2.85
Kenya,KEN,SSA,31,124,9,1.49,28,137,9,2.17,27,144,9,1.82,28,143,9,1.94,26,9,1.72
Kyrgyzstan,KGZ,ECA,31,124,7,1.28,30,126,7,2.54,29,132,7,2.37,29,135,7,2.59,28,7,2.08
Mexico,MEX,AME,31,124,9,1.38,29,130,9,1.73,28,138,9,1.83,29,135,9,1.69,30,8,1.56
Pakistan,PAK,AP,31,124,8,1.8,32,120,8,2.46,33,117,8,2.06,32,117,8,2.11,32,7,2.12
Azerbaijan,AZE,ECA,30,129,7,5,30,126,7,7.16,25,152,6,4.09,31,122,7,5.64,30,7,5.13
Gabon,GAB,SSA,30,129,6,2.35,31,123,6,2.41,31,124,4,3.92,32,117,4,3.22,35,4,0.97
Malawi,MWI,SSA,30,129,9,1.16,31,123,9,1.78,32,120,9,2.61,31,122,9,1.85,31,9,2.11
Mali,MLI,SSA,30,129,8,1.5,29,130,8,2.62,32,120,7,1.38,31,122,7,2.08,32,6,1.75
Russia,RUS,ECA,30,129,9,1.33,28,137,9,2.48,28,138,9,2.51,29,135,9,2.5,29,9,2.73
Laos,LAO,AP,29,134,5,3.95,29,130,5,5,29,132,5,5.7,29,135,5,5.89,30,4,6.19
Mauritania,MRT,SSA,29,134,6,1.6,28,137,6,2.73,27,144,6,2.95,28,143,6,2.41,27,5,3.62
Togo,TGO,SSA,29,134,7,1.75,29,130,7,2.4,30,129,6,2.35,32,117,6,3.29,32,5,4.21
Dominican Republic,DOM,AME,28,137,7,1.91,28,137,7,2.7,30,129,7,2.57,29,135,7,2.56,31,6,1.89
Guinea,GIN,SSA,28,137,8,1.88,29,130,8,2.5,28,138,6,2.67,27,148,7,2.37,27,5,2.54
Liberia,LBR,SSA,28,137,7,2.01,28,137,7,2.67,32,120,8,3.31,31,122,8,3.24,37,7,3.43
Myanmar,MMR,AP,28,137,7,2.65,29,130,7,4.21,29,132,7,3.94,30,130,7,3.91,28,8,3.69
Paraguay,PRY,AME,28,137,6,2.19,28,137,6,2.84,29,132,6,3.05,29,135,6,3.1,30,6,2.68
Angola,AGO,SSA,27,142,7,2.01,26,146,7,1.82,19,165,6,1.31,19,167,5,1.28,18,4,1.68
Djibouti,DJI,SSA,27,142,5,1.53,30,126,5,4.28,31,124,4,5.38,31,122,4,5.32,30,3,8.23
Papua New Guinea,PNG,AP,27,142,6,1.62,28,137,6,2.38,28,138,6,2.47,29,135,6,2.55,28,5,3.01
Uganda,UGA,SSA,27,142,9,1.15,28,137,9,2.04,26,149,9,2.13,26,151,9,2.11,25,9,2.24
Bangladesh,BGD,AP,26,146,8,1.72,26,146,8,2.62,26,149,8,2.63,28,143,8,3.19,26,7,4.13
Central African Republic,CAF,SSA,26,146,5,0.93,25,153,5,1.43,26,149,5,1.14,23,156,5,3.28,20,4,4.04
Uzbekistan,UZB,ECA,26,146,7,1.52,25,153,7,2.01,23,158,7,1.93,22,157,7,2.11,21,7,2.35
Cameroon,CMR,SSA,25,149,9,1.36,25,153,9,2.42,25,152,9,2.43,25,153,9,2.58,26,9,3.04
Guatemala,GTM,AME,25,149,7,1.38,26,146,7,2.23,27,144,7,2.56,28,143,7,2.19,28,6,2.58
Iran,IRN,MENA,25,149,7,2.56,26,146,7,3.63,28,138,7,2.89,30,130,7,3.51,29,7,2.47
Lebanon,LBN,MENA,25,149,7,1.15,28,137,7,2.27,28,138,7,2.28,28,143,7,2.11,28,7,2.5
Madagascar,MDG,SSA,25,149,8,1.51,24,158,8,2.48,25,152,7,2.64,24,155,8,2.72,26,7,2.88
Mozambique,MOZ,SSA,25,149,9,1.6,26,146,9,2.98,23,158,8,2.64,25,153,8,2.87,27,8,2.57
Nigeria,NGA,SSA,25,149,8,1.45,26,146,8,1.87,27,144,9,2.03,27,148,9,1.97,28,9,1.98
Tajikistan,TJK,ECA,25,149,6,5.09,25,153,6,6.66,25,152,6,5.73,21,161,5,2.36,25,6,5.26
Honduras,HND,AME,24,157,7,1.52,26,146,7,3.25,29,132,8,2.42,29,135,8,2.32,30,7,3.05
Zimbabwe,ZWE,SSA,24,157,9,1.35,24,158,9,2.31,22,160,9,2.29,22,157,9,2.22,22,9,2.59
Nicaragua,NIC,AME,22,159,7,0.9,22,161,7,1.16,25,152,8,1.13,26,151,8,1.29,26,7,1.98
Cambodia,KHM,AP,21,160,8,2.32,20,162,8,3.41,20,161,8,2.58,21,161,8,2.43,21,8,2.82
Chad,TCD,SSA,21,160,6,1.71,20,162,6,2.45,19,165,6,2.94,20,165,6,2.73,20,5,2.67
Comoros,COM,SSA,21,160,4,5.75,25,153,4,8.9,27,144,4,9,27,148,4,8.87,24,3,12.81
Eritrea,ERI,SSA,21,160,5,4.58,23,160,5,6.66,24,157,5,8.24,20,165,5,5.74,18,5,6.24
Iraq,IRQ,MENA,21,160,5,2.52,20,162,5,2.98,18,168,5,2.63,18,169,5,2.47,17,5,1.87
Afghanistan,AFG,AP,19,165,5,2.44,16,173,5,2.55,16,172,5,1.41,15,177,5,1.39,15,5,1.74
Burundi,BDI,SSA,19,165,6,3.74,19,165,6,4.89,17,170,5,2.65,22,157,6,3.29,20,6,1.53
Congo,COG,SSA,19,165,6,0.8,19,165,6,1.03,19,165,6,1.04,21,161,6,1.08,20,5,1.78
Guinea Bissau,GNB,SSA,19,165,6,2.71,18,168,6,2.91,16,172,5,1.97,17,171,5,1.7,16,4,2.09
Turkmenistan,TKM,ECA,19,165,5,0.91,19,165,5,1.42,20,161,5,1.22,19,167,5,1.78,22,4,1.32
Democratic Republic of the Congo,COD,SSA,18,170,9,0.75,18,168,9,1.43,20,161,8,2.13,21,161,8,1.96,21,7,2.13
Haiti,HTI,AME,18,170,6,2.47,18,168,6,3.23,20,161,6,2.47,22,157,6,2.05,20,5,1.81
"Korea, North",PRK,AP,18,170,4,3.46,17,172,4,3.16,14,176,4,1.39,17,171,4,4.18,12,3,1.39
Libya,LBY,MENA,17,173,5,1.72,18,168,5,2.24,17,170,5,2.57,17,171,5,3.05,14,4,2
Equatorial Guinea,GNQ,SSA,16,174,4,2.6,16,173,4,3,16,172,3,2.82,17,171,3,3.56,,,
Sudan,SDN,SSA,16,174,7,2.14,16,173,7,2.74,16,172,7,2.51,16,175,7,2.31,14,7,2.99
Venezuela,VEN,AME,15,176,8,0.91,16,173,8,2.05,18,168,8,2.13,18,169,8,1.6,17,7,1.41
Yemen,YEM,MENA,15,176,7,1.33,15,177,7,1.89,14,176,7,1.45,16,175,7,1.85,14,7,3.05
Syria,SYR,MENA,14,178,5,1.58,13,178,5,1.92,13,178,5,1.92,14,178,5,1.93,13,5,1.97
Somalia,SOM,SSA,12,179,6,2.29,9,180,5,1.74,10,180,6,3.08,9,180,5,2.26,10,5,2.98
South Sudan,SSD,SSA,12,179,5,1.11,12,179,5,1.26,13,178,5,1.86,12,179,5,1.56,11,5,3.21
